team_a,team_b,description
team:incheon_griffons,team:seoul_comets,"둘 다 도전형 배경팀, 지역 접점 라이벌"
team:hanseong_hs,team:cheongun_hs,서울 최강 명문 더비
team:baekho_hs,team:songrim_hs,"경기·인천, 투수 명문 vs 수비 조직력"
team:mudeung_hs,team:baegyang_hs,"호남, 최강 vs 도전자"
team:palgong_hs,team:geumgang_hs,대구·경북 vs 충청 전통 명문 자존심
team:haeun_hs,team:gaya_hs,"부산 vs 창원, 격차 좁혀가는 신흥 라이벌"
team:seorak_hs,team:halla_hs,"강원 vs 제주, 변방 언더독 동병상련"
team:doseong_hs,team:yangcheon_hs,"서울, 인접 지역 중상위권 라이벌(둘 다 손저작 아님)"
team:hallyu_univ,team:baeksan_univ,"서울, 프로 배출 명문 vs 학업+야구 엘리트"
team:songdo_univ,team:suri_univ,"인천 vs 수원, 수도권 실전 강호 대결"
team:baekje_univ,team:seoseok_univ,충청 vs 호남 지역 자존심
team:dalgubeol_univ,team:haedong_univ,"대구 vs 부산, 영남 더비"
team:gyeongin_univ,team:chiak_univ,"둘 다 지역거점 언더독, 만년 하위권 동지"
team:bitgoeul_univ,team:wansan_univ,"호남, 인접 지역 중위권 라이벌(둘 다 손저작 아님)"
team:seoul_royals,team:seoul_guardians,서울 더비 — 최강 자금력 vs 투수왕국
team:seoul_cobras,team:incheon_sharks,수도권 라이벌
team:daegu_sabers,team:changwon_stars,영남 라이벌
team:gwangju_panthers,team:busan_waves,호남 vs 영남 전통 라이벌
team:suwon_knights,team:daejeon_phantoms,"신흥 데이터야구 vs 리빌딩, 세대 대비"
